date,stock_id,open,close,volume
2026-02-23,2330,1900.0,1900.0,80768993
2026-02-24,2330,1915.0,1965.0,44316733
2026-02-25,2330,1995.0,2015.0,47398835
2026-02-26,2330,2000.0,1995.0,74411249
2026-03-02,2330,1940.0,1975.0,57404594
2026-03-03,2330,1970.0,1935.0,54577298
2026-03-04,2330,1895.0,1865.0,84647010
2026-03-05,2330,1940.0,1900.0,56489914
2026-03-06,2330,1880.0,1890.0,34307388
2026-03-09,2330,1775.0,1810.0,94441296
2026-03-10,2330,1870.0,1850.0,46926862
2026-03-11,2330,1885.0,1940.0,39238328
