date,stock_id,open,close,volume
,,0050.TW,0050.TW,0050.TW
2026-02-23,0050,78.44999694824219,77.4000015258789,212974781
2026-02-24,0050,77.94999694824219,79.4000015258789,143721014
2026-02-25,0050,80.3499984741211,81.0999984741211,158561421
2026-02-26,0050,81.25,81.1500015258789,123812672
2026-03-02,0050,79.5,80.3499984741211,204278933
2026-03-03,0050,80.05000305175781,78.75,288356288
2026-03-04,0050,77.4000015258789,75.5999984741211,455564304
2026-03-05,0050,78.30000305175781,77.4000015258789,194777972
2026-03-06,0050,76.80000305175781,76.8499984741211,139697065
2026-03-09,0050,73.1500015258789,73.5999984741211,493890200
2026-03-10,0050,75.9000015258789,75.19999694824219,164247105
2026-03-11,0050,76.30000305175781,78.19999694824219,147508364
2026-03-12,0050,77.0999984741211,76.5999984741211,120680192
2026-03-13,0050,75.1500015258789,75.94999694824219,105970280
2026-03-16,0050,76.30000305175781,75.5999984741211,97649824
2026-03-17,0050,76.44999694824219,76.6500015258789,61503521
2026-03-18,0050,77.75,77.80000305175781,72305179
2026-03-19,0050,76.5999984741211,76.0,128778782
2026-03-20,0050,76.19999694824219,75.9000015258789,67265037
2026-03-23,0050,73.5,74.25,210502502
2026-03-24,0050,75.5,74.4000015258789,83942753
2026-03-25,0050,76.3499984741211,76.19999694824219,91456088
2026-03-26,0050,76.30000305175781,75.80000305175781,76157584
2026-03-27,0050,74.44999694824219,75.0,106078935
2026-03-30,0050,73.30000305175781,73.9000015258789,158608942
2026-03-31,0050,73.3499984741211,72.3499984741211,231400782
2026-04-01,0050,75.0,75.44999694824219,126562159
2026-04-02,0050,75.9000015258789,73.94999694824219,105707506
2026-04-07,0050,75.1500015258789,75.30000305175781,76885542
2026-04-08,0050,78.0999984741211,79.19999694824219,227364928
2026-04-09,0050,79.30000305175781,79.1500015258789,92049631
2026-04-10,0050,80.0,80.75,115520077
2026-04-13,0050,80.5999984741211,80.5999984741211,87581345
2026-04-14,0050,81.75,83.0999984741211,123920345
2026-04-15,0050,84.0999984741211,84.1500015258789,122414906
2026-04-16,0050,84.75,85.0,76987129
2026-04-17,0050,84.19999694824219,84.1500015258789,93304532
2026-04-20,0050,84.55000305175781,84.55000305175781,95994589
2026-04-21,0050,85.5,86.0,71987659
2026-04-22,0050,85.75,86.3499984741211,64147874
2026-04-23,0050,87.6500015258789,86.3499984741211,148310644
2026-04-24,0050,87.5999984741211,89.94999694824219,125117290
2026-04-27,0050,92.69999694824219,93.0,183173507
2026-04-28,0050,92.55000305175781,92.0,114706934
2026-04-29,0050,90.69999694824219,90.75,93857452
2026-04-30,0050,91.25,90.5,82229228
2026-05-04,0050,92.5,94.5999984741211,120393477
2026-05-05,0050,94.4000015258789,94.5999984741211,76579608
2026-05-06,0050,96.05000305175781,95.75,105507530
2026-05-07,0050,97.94999694824219,97.69999694824219,110289613
2026-05-08,0050,97.3499984741211,97.0,117639791
2026-05-11,0050,96.6500015258789,96.9000015258789,88544547
2026-05-12,0050,96.8499984741211,96.8499984741211,94676481
2026-05-13,0050,94.8499984741211,95.5,113598688
2026-05-14,0050,96.9000015258789,96.05000305175781,53565899
2026-05-15,0050,97.6500015258789,95.4000015258789,90487261
2026-05-18,0050,94.0,94.9000015258789,105172915
2026-05-19,0050,94.3499984741211,93.0999984741211,116385289
2026-05-20,0050,93.0,92.5,108931614
2026-05-21,0050,94.80000305175781,95.8499984741211,59494294
2026-05-22,0050,96.30000305175781,97.30000305175781,60917271
2026-05-25,0050,99.55000305175781,100.80000305175781,124114624
2026-05-26,0050,101.5999984741211,100.0999984741211,87695026
2026-05-27,0050,102.4000015258789,102.55000305175781,90102044
2026-05-28,0050,104.0,100.5,140421329
2026-05-29,0050,103.19999694824219,105.4000015258789,98892043
2026-06-01,0050,105.25,105.5,127067000
2026-06-02,0050,106.30000305175781,105.69999694824219,107794552
2026-06-03,0050,107.30000305175781,107.5999984741211,75111550
2026-06-04,0050,106.75,106.0999984741211,108491104
2026-06-05,0050,105.0,104.1500015258789,164564140
2026-06-08,0050,98.05000305175781,100.94999694824219,320685641
2026-06-09,0050,102.0999984741211,103.5,89392847
2026-06-10,0050,102.5999984741211,100.25,166445287
2026-06-11,0050,100.0,99.8499984741211,248828975
2026-06-12,0050,103.25,101.94999694824219,73401960
2026-06-15,0050,105.0999984741211,105.25,95906242
2026-06-16,0050,106.05000305175781,105.9000015258789,67088029
2026-06-17,0050,105.0,106.0,75416209
2026-06-18,0050,107.0,107.30000305175781,74587200
2026-06-22,0050,109.44999694824219,111.1500015258789,110460961
