date,stock_id,open,close,volume,avg_sentiment,news_count
2026-02-23,2330,1900.0,1900.0,80768993,0.3659,41
2026-02-24,2330,1915.0,1965.0,44316733,0.4789,71
2026-02-25,2330,1995.0,2015.0,47398835,0.4569,116
2026-02-26,2330,2000.0,1995.0,74411249,0.587,69
2026-03-02,2330,1940.0,1975.0,57404594,0.225,80
2026-03-03,2330,1970.0,1935.0,54577298,-0.0439,57
2026-03-04,2330,1895.0,1865.0,84647010,-0.0714,56
2026-03-05,2330,1940.0,1900.0,56489914,0.359,39
2026-03-06,2330,1880.0,1890.0,34307388,0.2273,22
2026-03-09,2330,1775.0,1810.0,94441296,0.3205,39
2026-03-10,2330,1870.0,1850.0,46926862,0.4706,68
2026-03-11,2330,1885.0,1940.0,39238328,0.6912,34
